ENGLISH,ARABIC,ROOT,CATEGORY,SOURCE,DATE,EQUIVALENTS
period,مدّة,,,chapter 3.1,04.01.23,
permit,سَمِحَ,,,chapter 4.1,20.01.23,allow
pink,زهريّ,,colors,chapter 2.8,,"pink (m), pink (m.)"
place,مَكان,ك-ا-ن,travel,chapter 3.1,,
plane,طائِرة,ط-ي-ر,"transportation, travel",,03.01.23,
plane,طيّارة,ط-ي-ر,"transportation, travel",,03.01.23,
pleased to meet you,تَشَرَّفْنا,,"dialogue, greeting",lesson 11,,nice to meet you
pleasure to meet you,تَشَرَّفْنا,,dialogue,lesson 10,,nice to meet you
possible,مُمكِن,,,chapter 4.1,20.01.23,
potato,بطاطا,,food,book,,
praiseworthy,حَمْد,ح-م-د,,,09.01.23,
president,رَئيس,,"titles, jobs, politics",lesson 9,,
president,رئيس,,,,20.02.23,
prettier,أحلى,,,chapter 9.2,30.03.23,sweeter
pretty,حِلو,,,chapter 9.0,29.03.23,
price,سعر,,shopping,chapter 9.2,30.03.23,
prices,أسعار,,shopping,chapter 9.2,30.03.23,
prince,أمير,,"titles, politics",lesson 9,,
professor,أُستاذ,,,book,,teacher
professors,أساتِذة,,,,,teachers
pronouns,الضّمائِر,,pronouns,,06.01.23,
purple,بَنَفْسَجيّ,,colors,chapter 2.8,,
